key,conference,id,title,program_title,authors,acceptance,themes,categories,quantity,method,caveat,matrix_scope,geometry,manifold_scope,relevance_notes,evidence,fulltext_sources,openreview_url,conference_url,proceedings_url,pdf_url,code_links,snapshot_date,training_scope,hyperparameters,training_finding,training_caveat,training_reading_rank,year,publication_status,source_url,doi,citation_key,bibtex,bibtex_kind,bibtex_source
CVPR:2021-SKFAC,CVPR 2021,CVPR:2021-SKFAC,SKFAC: Training Neural Networks With Faster Kronecker-Factored Approximate Curvature,,Zedong Tang; Fenlong Jiang; Maoguo Gong; Hao Li; Yue Wu; Fan Yu; Zidong Wang; Min Wang,Published,Matrix computation; Optimizer,"A: KFAC / EKFAC methods, applications, and substantive evaluations; X8: Linear systems, sparse solvers and Gaussian processes",Damped inverses of minibatch KFAC factors,"For a factor lambda I + Y^T Y / M, invert M lambda I + YY^T when the minibatch size M is smaller than the layer dimension; use direct inversion otherwise.",The fully connected-layer inversion is exact for the chosen damped minibatch factors. The Fisher/Kronecker model and convolutional extensions introduce approximations. This is not an online eigenspace tracker for full EMA factors; the benefit depends on batch size versus width.,Deep learning,,,"Research note: Swift KFAC (SKFAC) exploits the low rank of minibatch activation and output-derivative Gram matrices. A Woodbury-form identity moves damped factor inversion to a batch-sized system, connecting low-rank preconditioning to efficient KFAC computation.",Official CVPR proceedings metadata and abstract; targeted full-text passage checked,"https://openaccess.thecvf.com/content/CVPR2021/papers/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.pdf — Section 3.1, Theorem 1, equations (13)-(17), Algorithm 1; Section 3.2. Checked the batch-sized inversion formula, the batch-size condition and the need for additional convolutional approximations.",,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.pdf,,2026-09-24,,,,,0,2021,Published,https://openaccess.thecvf.com/content/CVPR2021/html/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.html,,Tang_2021_CVPR,"@InProceedings{Tang_2021_CVPR,
    author    = {Tang, Zedong and Jiang, Fenlong and Gong, Maoguo and Li, Hao and Wu, Yue and Yu, Fan and Wang, Zidong and Wang, Min},
    title     = {SKFAC: Training Neural Networks With Faster Kronecker-Factored Approximate Curvature},
    booktitle = {Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)},
    month     = {June},
    year      = {2021},
    pages     = {13479-13487}
}",Source-provided citation,https://openaccess.thecvf.com/content/CVPR2021/html/Tang_SKFAC_Training_Neural_Networks_With_Faster_Kronecker-Factored_Approximate_Curvature_CVPR_2021_paper.html
ICLR:10008484,ICLR 2026,10008484,$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization,,Yuandong Tian,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T4: Compute, data and model scaling laws; T6: Feature learning, implicit bias and generalization dynamics; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,"Optimizer: Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization. | Training dynamics: Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=ceIBRhJpUr,https://iclr.cc/virtual/2026/poster/10008484,,https://openreview.net/pdf?id=ceIBRhJpUr,,2026-09-23,Theory / controlled models,Feature emergence; delayed generalization; optimizer,"Li2 models feature emergence and delayed generalization, including a mechanistic explanation for the effectiveness of Muon-like optimization.","Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=ceIBRhJpUr,,ICLR_10008484,"@misc{ICLR_10008484,
  title = {{$\mathbf{Li_2}$: A Framework on Dynamics of Feature Emergence and Delayed Generalization}},
  author = {Yuandong Tian},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=ceIBRhJpUr}
}",Generated from catalogue metadata,https://openreview.net/forum?id=ceIBRhJpUr
ICLR:10008268,ICLR 2026,10008268,$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers,,Benjamin Thérien; Charles-Étienne Joseph; Boris Knyazev; Edouard Oyallon; Irina Rish; Eugene Belilovsky,Accept (Poster),Optimizer; Training dynamics,"C: General-purpose matrix, spectral, adaptive, and learned optimizers; T3: Width/depth scaling and hyperparameter transfer",,,,,,,Optimizer: MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons. | Training dynamics: MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=f8z2bzOLK2,https://iclr.cc/virtual/2026/poster/10008268,,https://openreview.net/pdf?id=f8z2bzOLK2,,2026-09-23,LLM training,Learned-optimizer parameterization; width; training horizon,MuLO derives maximal-update parameterizations for learned optimizers to improve generalization to wider networks and longer training horizons.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=f8z2bzOLK2,,ICLR_10008268,"@misc{ICLR_10008268,
  title = {{$\mu$LO: Compute-Efficient Meta-Generalization of Learned Optimizers}},
  author = {Benjamin Thérien and Charles-Étienne Joseph and Boris Knyazev and Edouard Oyallon and Irina Rish and Eugene Belilovsky},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=f8z2bzOLK2}
}",Generated from catalogue metadata,https://openreview.net/forum?id=f8z2bzOLK2
ICLR:10006690,ICLR 2026,10006690,A Convergence Analysis of Adaptive Optimizers under Floating-point Quantization,,Xuan Tang; Jichu Li; Difan Zou,Accept (Poster),Optimizer,D: Memory-efficient and low-precision optimizers,,,,,,,"Optimizer: Convergence theory for Adam and Muon with floating-point quantization of weights, gradients, and optimizer states; distinguishes their sensitivity to different error sources.",Official accepted-paper title and abstract,,https://openreview.net/forum?id=wwP1SCACee,https://iclr.cc/virtual/2026/poster/10006690,,https://openreview.net/pdf?id=wwP1SCACee,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=wwP1SCACee,,ICLR_10006690,"@misc{ICLR_10006690,
  title = {{A Convergence Analysis of Adaptive Optimizers under Floating-point Quantization}},
  author = {Xuan Tang and Jichu Li and Difan Zou},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=wwP1SCACee}
}",Generated from catalogue metadata,https://openreview.net/forum?id=wwP1SCACee
ICLR:10011394,ICLR 2026,10011394,A Physics-Inspired Optimizer: Velocity Regularized Adam,,Pranav Vaidhyanathan; Lucas Schorling; Natalia Ares; Michael Osborne,Accept (Poster),Optimizer,"C: General-purpose matrix, spectral, adaptive, and learned optimizers",,,,,,,Optimizer: Velocity-Regularized Adam adds velocity-dependent damping to suppress oscillatory large updates; includes language-model and vision experiments.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=6BhduwrCp3,https://iclr.cc/virtual/2026/poster/10011394,,https://openreview.net/pdf?id=6BhduwrCp3,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=6BhduwrCp3,,ICLR_10011394,"@misc{ICLR_10011394,
  title = {{A Physics-Inspired Optimizer: Velocity Regularized Adam}},
  author = {Pranav Vaidhyanathan and Lucas Schorling and Natalia Ares and Michael Osborne},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=6BhduwrCp3}
}",Generated from catalogue metadata,https://openreview.net/forum?id=6BhduwrCp3
ICLR:10007952,ICLR 2026,10007952,A Tale of Two Geometries: Adaptive Optimizers and Non-Euclidean Descent,,Shuo Xie; Tianhao Wang; Beining Wu; Zhiyuan Li,Accept (Poster),Optimizer,"G: Optimizer theory, benchmarks, and training dynamics",,,,,,,Optimizer: Compares adaptive optimizers and non-Euclidean normalized steepest descent through adaptive smoothness and gradient-variance assumptions.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=iaoAKDRAJQ,https://iclr.cc/virtual/2026/poster/10007952,,https://openreview.net/pdf?id=iaoAKDRAJQ,,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=iaoAKDRAJQ,,ICLR_10007952,"@misc{ICLR_10007952,
  title = {{A Tale of Two Geometries: Adaptive Optimizers and Non-Euclidean Descent}},
  author = {Shuo Xie and Tianhao Wang and Beining Wu and Zhiyuan Li},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=iaoAKDRAJQ}
}",Generated from catalogue metadata,https://openreview.net/forum?id=iaoAKDRAJQ
ICLR:10008011,ICLR 2026,10008011,A Theoretical Analysis of Mamba’s Training Dynamics: Filtering Relevant Features for Generalization in State Space Models,,Mugunthan Shandirasegaran; Hongkang Li; Songyang Zhang; Meng Wang; Shuai Zhang,Accept (Poster),Optimizer; Training dynamics,"G: Optimizer theory, benchmarks, and training dynamics; T6: Feature learning, implicit bias and generalization dynamics",,,,,,,Training dynamics: Explains feature selection by a simplified Mamba block through non-asymptotic learning dynamics.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=hvpKqEYJjj,https://iclr.cc/virtual/2026/poster/10008011,,https://openreview.net/pdf?id=hvpKqEYJjj,,2026-09-23,Theory / controlled models,Signal/noise ratio; training time; sample size,Explains feature selection by a simplified Mamba block through non-asymptotic learning dynamics.,The model is single-layer/single-head with structured synthetic data.,0,2026,Accepted,https://openreview.net/forum?id=hvpKqEYJjj,,ICLR_10008011,"@misc{ICLR_10008011,
  title = {{A Theoretical Analysis of Mamba’s Training Dynamics: Filtering Relevant Features for Generalization in State Space Models}},
  author = {Mugunthan Shandirasegaran and Hongkang Li and Songyang Zhang and Meng Wang and Shuai Zhang},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=hvpKqEYJjj}
}",Generated from catalogue metadata,https://openreview.net/forum?id=hvpKqEYJjj
ICLR:10006767,ICLR 2026,10006767,A universal compression theory for lottery ticket hypothesis and neural scaling laws,,Hong-Yi Wang; Di Luo; Tomaso Poggio; Isaac Chuang; Liu Ziyin,Accept (Poster),Optimizer; Training dynamics,"H: Learning rates, batch sizes, parameterization, and plasticity; T3: Width/depth scaling and hyperparameter transfer; T4: Compute, data and model scaling laws",,,,,,,Training dynamics: Develops permutation-invariant compression theory with consequences for learning dynamics and scaling laws.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=vxkzW4ljeX,https://iclr.cc/virtual/2026/poster/10006767,,https://openreview.net/pdf?id=vxkzW4ljeX,,2026-09-23,Theory / controlled models,Width; sample size; compression level,Develops permutation-invariant compression theory with consequences for learning dynamics and scaling laws.,Asymptotic existence/construction results are not an off-the-shelf compression recipe for any pretrained LLM.,0,2026,Accepted,https://openreview.net/forum?id=vxkzW4ljeX,,ICLR_10006767,"@misc{ICLR_10006767,
  title = {{A universal compression theory for lottery ticket hypothesis and neural scaling laws}},
  author = {Hong-Yi Wang and Di Luo and Tomaso Poggio and Isaac Chuang and Liu Ziyin},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=vxkzW4ljeX}
}",Generated from catalogue metadata,https://openreview.net/forum?id=vxkzW4ljeX
ICLR:10008183,ICLR 2026,10008183,Achieving low-bit Muon through subspace preservation and grid quantization,,Huaijin Wu; Bingrui Li; Yebin Yang; Yi Tu; Zhanpeng Zhou; Jianfei Chen; Junchi Yan,Accept (Poster),Optimizer,D: Memory-efficient and low-precision optimizers,,,,,,,Optimizer: 4-bit-Muon-GRASP compresses momentum using grid quantization while preserving the leading singular subspace; evaluated on LLaMA pretraining and 7B fine-tuning.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=g2l9bg9DWx,https://iclr.cc/virtual/2026/poster/10008183,,https://openreview.net/pdf?id=g2l9bg9DWx,https://github.com/wuhuaijin/lowbit-Muon,2026-09-23,,,,,0,2026,Accepted,https://openreview.net/forum?id=g2l9bg9DWx,,ICLR_10008183,"@misc{ICLR_10008183,
  title = {{Achieving low-bit Muon through subspace preservation and grid quantization}},
  author = {Huaijin Wu and Bingrui Li and Yebin Yang and Yi Tu and Zhanpeng Zhou and Jianfei Chen and Junchi Yan},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=g2l9bg9DWx}
}",Generated from catalogue metadata,https://openreview.net/forum?id=g2l9bg9DWx
ICLR:10008058,ICLR 2026,10008058,Adaptive Methods Are Preferable in High Privacy Settings: An SDE Perspective,,Enea Monzio Compagnoni; Alessandro Stanghellini; Rustem Islamov; Aurelien Lucchi; Anastasia Koloskova,Accept (Poster),Optimizer; Training dynamics,"I: Fine-tuning, LoRA, privacy, and specialized post-training; T1: Learning-rate selection, warm-up and schedules; T2: Batch size, gradient noise and training efficiency; T8: Optimizer dynamics, comparisons and diagnostics",,,,,,,Optimizer: SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels. | Training dynamics: SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels.,Official accepted-paper title and abstract,,https://openreview.net/forum?id=hSpA4DAoMk,https://iclr.cc/virtual/2026/poster/10008058,,https://openreview.net/pdf?id=hSpA4DAoMk,,2026-09-23,General optimization,Privacy noise; adaptive updates; hyperparameter transfer,SDE analysis compares private SGD and sign/adaptive methods under privacy noise and studies hyperparameter transfer across privacy levels.,"Reuses the earlier source-grounded annotation. Consult the linked paper for assumptions, tested scales and parameterization conventions.",0,2026,Accepted,https://openreview.net/forum?id=hSpA4DAoMk,,ICLR_10008058,"@misc{ICLR_10008058,
  title = {{Adaptive Methods Are Preferable in High Privacy Settings: An SDE Perspective}},
  author = {Enea Monzio Compagnoni and Alessandro Stanghellini and Rustem Islamov and Aurelien Lucchi and Anastasia Koloskova},
  year = {2026},
  note = {ICLR 2026; Accept (Poster)},
  url = {https://openreview.net/forum?id=hSpA4DAoMk}
}",Generated from catalogue metadata,https://openreview.net/forum?id=hSpA4DAoMk
